Time,Attribute,State,Phase
6628.36999999854,,, START
183956.6199999972,cool,1,ON_TCATA
184643.7500000029,tingling,1,ON_TCATA
274264.7500000021,stinging,1,ON_TCATA
336946.8300000008,painful,1,ON_TCATA
337811.74499999906,tingling,0,ON_TCATA
606289.0800000023,,, S_STOPPED
628409.4150000019,,, START
634817.0800000007,tingling,1,OFF_TCATA
635755.4999999993,stinging,0,OFF_TCATA
636475.6199999974,painful,0,OFF_TCATA
942359.7450000016,tingling,0,OFF_TCATA
1228617.8749999963,,, S_STOPPED
,cool,,DOM_SENSE
