Time,Attribute,State,Phase
1908731.6650000284,,, START
1997822.039999999,cool,1,ON_TCATA
2110898.125000007,warm,1,ON_TCATA
2331298.9599999855,tingling,1,ON_TCATA
2371831.0000000056,stinging,1,ON_TCATA
2450795.704999997,burning,1,ON_TCATA
2457340.4950000113,tingling,0,ON_TCATA
2467834.8700000206,warm,0,ON_TCATA
2509069.460000028,,, S_STOPPED
2538122.1200000145,,, START
2543883.290000027,cool,0,OFF_TCATA
2544602.4549999856,stinging,0,OFF_TCATA
2545694.290000014,burning,0,OFF_TCATA
2547011.7050000117,stinging,1,OFF_TCATA
2614704.6650000266,warm,1,OFF_TCATA
2752086.5399999893,warm,0,OFF_TCATA
2753008.4999999963,cool,1,OFF_TCATA
2938788.0800000275,stinging,0,OFF_TCATA
2939962.040000013,tingling,1,OFF_TCATA
3138930.705000006,,, S_STOPPED
,cool,,DOM_SENSE
