Time,Attribute,State,Phase
68552.8349999804,,, START
320280.999999959,tingling,1,ON_TCATA
429496.62499997066,cool,1,ON_TCATA
499608.8349999627,painful,1,ON_TCATA
516843.0449999869,stinging,1,ON_TCATA
517624.8749999795,painful,0,ON_TCATA
669108.2949999836,,, S_STOPPED
700047.499999986,,, START
706315.8349999576,cool,0,OFF_TCATA
707068.0399999837,tingling,0,OFF_TCATA
707811.539999966,stinging,0,OFF_TCATA
757137.4599999981,cool,1,OFF_TCATA
1096267.754999979,cool,0,OFF_TCATA
1300035.9600000083,,, S_STOPPED
,cool,,DOM_SENSE
