Time,Attribute,State,Phase
194113,,, START
292319,tingling,1,ON_TCATA
331987,cool,1,ON_TCATA
983549,,, S_STOPPED
984539,,, START
990270,tingling,0,OFF_TCATA
994406,tingling,1,OFF_TCATA
1008695,tingling,0,OFF_TCATA
1134297,cool,0,OFF_TCATA
1733219,,, S_STOPPED
,tingling,,DOM_SENSE
