Time,Attribute,State,Phase
234428.4800000023,,, START
290235.13000000094,cool,1,ON_TCATA
368378.2000000065, decreasing sensation,1,ON_TCATA
399153.45500000694,tingling,1,ON_TCATA
528535.8400000042,painful,1,ON_TCATA
602030.8150000055, increasing sensation,1,ON_TCATA
603008.5850000032, decreasing sensation,0,ON_TCATA
836875.6250000006,,, S_STOPPED
863605.3450000036,,, START
871757.9650000044,painful,0,OFF_TCATA
880622.9950000051, increasing sensation,0,OFF_TCATA
904185.845,tingling,0,OFF_TCATA
1028416.5750000029,cool,0,OFF_TCATA
1464192.0450000037,,, S_STOPPED
,cool,,DOM_SENSE
