Time,Attribute,State,Phase
173736.09999999826,,, START
259678.86499999804,cool,1,ON_TCATA
293738.47499999823,tingling,1,ON_TCATA
368448.5649999988,stinging,1,ON_TCATA
385739.3950000005, decreasing sensation,1,ON_TCATA
463289.08999999834,painful,1,ON_TCATA
492886.09999999974,cool,0,ON_TCATA
496241.95499999763,warm,1,ON_TCATA
517391.02500000084, increasing sensation,1,ON_TCATA
521264.944999999, decreasing sensation,0,ON_TCATA
567379.0249999984,tingling,0,ON_TCATA
617459.5100000006,burning,1,ON_TCATA
775866.1900000006,,, S_STOPPED
808789.1149999995,,, START
830926.6050000006,painful,0,OFF_TCATA
833527.9799999989,warm,0,OFF_TCATA
866697.3450000004,stinging,0,OFF_TCATA
868732.5249999994,tingling,1,OFF_TCATA
886421.6400000005, increasing sensation,0,OFF_TCATA
932715.4100000007,burning,0,OFF_TCATA
1007617.7999999999, decreasing sensation,1,OFF_TCATA
1046810.4649999986,tingling,0,OFF_TCATA
1052212.094999999, decreasing sensation,0,OFF_TCATA
1065325.1999999995,cool,1,OFF_TCATA
1163819.13,cool,0,OFF_TCATA
1409835.2950000009,,, S_STOPPED
,stinging,,DOM_SENSE
