Time,Attribute,State,Phase
664647.3950000072,,, START
745663.6900000012,cool,1,ON_TCATA
775141.174999997,tingling,1,ON_TCATA
806021.2949999986,stinging,1,ON_TCATA
857668.5949999955, increasing sensation,1,ON_TCATA
980492.0100000018,painful,1,ON_TCATA
1201426.4200000037,painful,0,ON_TCATA
1225836.6749999989,cool,0,ON_TCATA
1226817.439999999,warm,1,ON_TCATA
1270465.5599999968,,, S_STOPPED
1296458.945000006,,, START
1329724.1599999978,warm,0,OFF_TCATA
1400239.1449999996,stinging,0,OFF_TCATA
1521358.0349999974,tingling,0,OFF_TCATA
1524095.5099999993, increasing sensation,0,OFF_TCATA
1899497.0350000076,,, S_STOPPED
,tingling,,DOM_SENSE
