Time,Attribute,State,Phase
378942.3249999818,,, START
410239.83499998576,cool,1,ON_TCATA
535719.5300000021,tingling,1,ON_TCATA
558935.8549999888,stinging,1,ON_TCATA
689684.580000001, increasing sensation,1,ON_TCATA
707842.1999999846,numbness,1,ON_TCATA
981579.9049999914,,, S_STOPPED
1005581.9649999903,,, START
1016465.0099999853,stinging,0,OFF_TCATA
1017520.274999988,tingling,0,OFF_TCATA
1079657.7849999885,cool,0,OFF_TCATA
1234133.3100000047,numbness,0,OFF_TCATA
1235183.7349999987, increasing sensation,0,OFF_TCATA
1606473.410000006,,, S_STOPPED
,cool,,DOM_SENSE
