Time,Attribute,State,Phase
202468.80999999848,,, START
299234.9349999968,stinging,1,ON_TCATA
327753.22999999847,painful,1,ON_TCATA
340285.41499999847, increasing sensation,1,ON_TCATA
372956.4799999971,burning,1,ON_TCATA
406196.474999997,warm,1,ON_TCATA
804713.9849999985,,, S_STOPPED
840707.0049999965,,, START
908274.6499999993,painful,0,OFF_TCATA
916372.8749999973,warm,0,OFF_TCATA
933161.8449999987,burning,0,OFF_TCATA
940189.7549999994,stinging,0,OFF_TCATA
952159.4599999989, increasing sensation,0,OFF_TCATA
968117.0499999971,warm,1,OFF_TCATA
1018235.4049999994, increasing sensation,1,OFF_TCATA
1341600.2449999978,warm,0,OFF_TCATA
1342675.3899999969, increasing sensation,0,OFF_TCATA
1442755.159999997,,, S_STOPPED
,stinging,,DOM_SENSE
