Time,Attribute,State,Phase
214466.37499999997,,, START
274680.36500000017,cool,1,ON_TCATA
323287.70500000066,tingling,1,ON_TCATA
368604.1999999998, decreasing sensation,1,ON_TCATA
471186.6750000008,stinging,1,ON_TCATA
518503.1049999998,warm,1,ON_TCATA
533954.78,burning,1,ON_TCATA
535341.4250000005,warm,0,ON_TCATA
816577.6500000011,,, S_STOPPED
861458.1500000004,,, START
898635.1450000021,tingling,0,OFF_TCATA
927465.9550000015,stinging,0,OFF_TCATA
960354.5250000006,numbness,1,OFF_TCATA
1056390.594999999,burning,0,OFF_TCATA
1192433.5699999994,numbness,0,OFF_TCATA
1193853.3200000003,cool,0,OFF_TCATA
1199077.299999999, decreasing sensation,0,OFF_TCATA
1462527.909999999,,, S_STOPPED
,burning,,DOM_SENSE
