Time,Attribute,State,Phase
195417.62500000186,,, START
256625.3700000234,warm,1,ON_TCATA
286530.4550000001, increasing sensation,1,ON_TCATA
359087.8650000086,tingling,1,ON_TCATA
366720.885000017, increasing sensation,0,ON_TCATA
434690.76500000665,itching,1,ON_TCATA
585976.1900000158,tingling,0,ON_TCATA
590547.4099999992,warm,0,ON_TCATA
591905.8450000011,cool,1,ON_TCATA
724801.4299999923,itching,0,ON_TCATA
731628.7800000282, increasing sensation,1,ON_TCATA
798644.7100000223,,, S_STOPPED
836308.8350000326,,, START
872519.7850000113,tingling,1,OFF_TCATA
881584.1450000298, increasing sensation,0,OFF_TCATA
994347.8999999934, decreasing sensation,1,OFF_TCATA
1000135.3099999833,tingling,0,OFF_TCATA
1346375.9549999959, decreasing sensation,0,OFF_TCATA
1437858.264999988,,, S_STOPPED
,cool,,DOM_SENSE
