Time,Attribute,State,Phase
84000.44999999227,,, START
311090.2000000351,tingling,1,ON_TCATA
317886.91500003915,warm,1,ON_TCATA
424184.57500002114,stinging,1,ON_TCATA
516407.96500002034,painful,1,ON_TCATA
550100.8049999946,burning,1,ON_TCATA
559919.2950000288,warm,0,ON_TCATA
685282.7150000376,,, S_STOPPED
707444.1250000382,,, START
735023.0900000315,painful,0,OFF_TCATA
1073197.3950000247,burning,0,OFF_TCATA
1074778.1350000296,stinging,0,OFF_TCATA
1263904.19999999,tingling,0,OFF_TCATA
1311919.9200000148,,, S_STOPPED
,stinging,,DOM_SENSE
