Time,Attribute,State,Phase
259648.2450000476,,, START
406060.37500000093,pressure,1,ON_TCATA
410310.2700000163,stinging,1,ON_TCATA
423082.2900000494, increasing sensation,1,ON_TCATA
447482.09500004305,pressure,0,ON_TCATA
506824.4500000146,itching,1,ON_TCATA
582061.1050000298,burning,1,ON_TCATA
583053.7150000455,painful,1,ON_TCATA
616659.8349999986, increasing sensation,0,ON_TCATA
646405.0900000148, increasing sensation,1,ON_TCATA
665407.995000016,burning,0,ON_TCATA
861948.8049999927,,, S_STOPPED
899033.4950000397,,, START
940680.2900000475,warm,1,OFF_TCATA
944191.0700000008,itching,0,OFF_TCATA
954823.1300000334, increasing sensation,0,OFF_TCATA
1009789.5850000205,painful,0,OFF_TCATA
1025854.5500000473,stinging,0,OFF_TCATA
1077557.705000043,tingling,1,OFF_TCATA
1237663.8000000385,cool,1,OFF_TCATA
1387040.5000000028,cool,0,OFF_TCATA
1481602.7100000065,cool,1,OFF_TCATA
1503574.1550000384,,, S_STOPPED
,stinging,,DOM_SENSE
