Time,Attribute,State,Phase
139698.5599999898,,, START
214321.79999997607,tingling,1,ON_TCATA
240928.35000000196,stinging,1,ON_TCATA
336808.46500000916,painful,1,ON_TCATA
401428.24500001734,tingling,0,ON_TCATA
542119.6999999811,cool,1,ON_TCATA
704437.8199999919,tingling,1,ON_TCATA
741371.679999982,,, S_STOPPED
764701.4550000313,,, START
801643.2449999847, increasing sensation,1,OFF_TCATA
895874.049999984,painful,0,OFF_TCATA
897009.4549999922,cool,0,OFF_TCATA
961203.2400000026, increasing sensation,0,OFF_TCATA
963311.3499999745,stinging,0,OFF_TCATA
1223913.1300000008,tingling,0,OFF_TCATA
1365829.4549999991,,, S_STOPPED
,stinging,,DOM_SENSE
