Time,Attribute,State,Phase
393825.01500000944,,, START
500084.114999976,itching,1,ON_TCATA
518546.52999999234,stinging,1,ON_TCATA
558787.2050000005,painful,1,ON_TCATA
846009.0049999999, increasing sensation,1,ON_TCATA
917516.5050000069,itching,0,ON_TCATA
919655.0050000078,burning,1,ON_TCATA
995205.6899999734,,, S_STOPPED
1027478.9149999851,,, START
1043257.1849999949, increasing sensation,0,OFF_TCATA
1264109.83999999, increasing sensation,1,OFF_TCATA
1326460.5100000044,painful,0,OFF_TCATA
1442258.604999981,burning,0,OFF_TCATA
1586471.1549999774, increasing sensation,0,OFF_TCATA
1627682.359999977,,, S_STOPPED
,painful,,DOM_SENSE
