Time,Attribute,State,Phase
291327.91499991436,,, START
543057.4599999236,tingling,1,ON_TCATA
626509.3749999069,burning,1,ON_TCATA
687287.459999905,stinging,1,ON_TCATA
688280.4599999217,painful,1,ON_TCATA
805906.7100000102, increasing sensation,1,ON_TCATA
891915.960000013,,, S_STOPPED
911045.9600000177,,, START
1110761.499999906,stinging,0,OFF_TCATA
1113976.0399999795, increasing sensation,0,OFF_TCATA
1286187.004999956,painful,0,OFF_TCATA
1289578.9999999106, decreasing sensation,1,OFF_TCATA
1512376.2100000167,,, S_STOPPED
,burning,,DOM_SENSE
