Time,Attribute,State,Phase
53839.12000001874,,, START
355955.04000002984,burning,1,ON_TCATA
477940.16500003636, increasing sensation,1,ON_TCATA
482218.2899999898,stinging,1,ON_TCATA
654910.6250000186,,, S_STOPPED
670217.9550000001,,, START
725622.245000035,stinging,0,OFF_TCATA
906660.830000008, increasing sensation,0,OFF_TCATA
907404.2450000416, decreasing sensation,1,OFF_TCATA
912912.9950000206,burning,0,OFF_TCATA
913574.8700000113,warm,1,OFF_TCATA
1270932.5800000224,,, S_STOPPED
,burning,,DOM_SENSE
