Time,Attribute,State,Phase
211267.69000000786,,, START
544241.955000005,cool,1,ON_TCATA
652433.950000006,warm,1,ON_TCATA
657792.3549999978,cool,0,ON_TCATA
735797.1899999975,warm,0,ON_TCATA
755380.720000001,cool,1,ON_TCATA
771932.6299999957,tingling,1,ON_TCATA
813407.0099999954,,, S_STOPPED
860227.9950000084,,, START
874601.8150000018,burning,1,OFF_TCATA
878051.6250000073,cool,0,OFF_TCATA
894991.7200000054,warm,1,OFF_TCATA
1047554.8600000037,warm,0,OFF_TCATA
1098738.0100000007,painful,1,OFF_TCATA
1106267.1249999986,stinging,1,OFF_TCATA
1237522.7600000072,stinging,0,OFF_TCATA
1238857.1499999962,painful,0,OFF_TCATA
1459838.4099999964,,, S_STOPPED
,burning,,DOM_SENSE
